Release Period,State,Measure ID,Bottom-box Percentage,Middle-box Percentage,Top-box Percentage,State Name,Region,Measure,Type
07_2015,DE,H_HSP_RATING,9,25,66,Delaware,South Atlantic,Overall Hospital Rating,Global Item
07_2015,DE,H_QUIET_HSP,14,32,54,Delaware,South Atlantic,Quietness of Hospital Environment,Individual Item
07_2015,DE,H_RECMND,5,28,67,Delaware,South Atlantic,Willingness to Recommend the Hospital,Global Item
07_2015,FL,H_CLEAN_HSP,11,19,70,Florida,South Atlantic,Cleanliness of Hospital Environment,Individual Item
07_2015,FL,H_COMP_1,6,18,76,Florida,South Atlantic,Communication with Nurses,Composite Measure
07_2015,FL,H_COMP_2,6,16,78,Florida,South Atlantic,Communication with Doctors,Composite Measure
07_2015,FL,H_COMP_3,12,26,62,Florida,South Atlantic,Responsiveness of Hospital Staff,Composite Measure
07_2015,FL,H_COMP_5,22,17,61,Florida,South Atlantic,Communication about Medicines,Composite Measure
07_2015,FL,H_COMP_6,16,0,84,Florida,South Atlantic,Discharge Information,Composite Measure
07_2015,FL,H_COMP_7,7,44,49,Florida,South Atlantic,Care Transition,Composite Measure
07_2015,FL,H_HSP_RATING,10,23,67,Florida,South Atlantic,Overall Hospital Rating,Global Item
07_2015,FL,H_QUIET_HSP,12,29,59,Florida,South Atlantic,Quietness of Hospital Environment,Individual Item
07_2015,FL,H_RECMND,7,24,69,Florida,South Atlantic,Willingness to Recommend the Hospital,Global Item
07_2015,GA,H_CLEAN_HSP,10,18,72,Georgia,South Atlantic,Cleanliness of Hospital Environment,Individual Item
07_2015,GA,H_COMP_1,5,16,79,Georgia,South Atlantic,Communication with Nurses,Composite Measure
07_2015,GA,H_COMP_2,4,13,83,Georgia,South Atlantic,Communication with Doctors,Composite Measure
07_2015,GA,H_COMP_3,11,23,66,Georgia,South Atlantic,Responsiveness of Hospital Staff,Composite Measure
07_2015,GA,H_COMP_5,20,16,64,Georgia,South Atlantic,Communication about Medicines,Composite Measure
07_2015,GA,H_COMP_6,16,0,84,Georgia,South Atlantic,Discharge Information,Composite Measure
07_2015,GA,H_COMP_7,6,44,50,Georgia,South Atlantic,Care Transition,Composite Measure
07_2015,GA,H_HSP_RATING,9,22,69,Georgia,South Atlantic,Overall Hospital Rating,Global Item
07_2015,GA,H_QUIET_HSP,7,26,67,Georgia,South Atlantic,Quietness of Hospital Environment,Individual Item
07_2015,GA,H_RECMND,6,25,69,Georgia,South Atlantic,Willingness to Recommend the Hospital,Global Item
07_2015,HI,H_CLEAN_HSP,6,19,75,Hawaii,Pacific,Cleanliness of Hospital Environment,Individual Item
07_2015,HI,H_COMP_1,4,17,79,Hawaii,Pacific,Communication with Nurses,Composite Measure
07_2015,HI,H_COMP_2,4,15,81,Hawaii,Pacific,Communication with Doctors,Composite Measure
07_2015,HI,H_COMP_3,9,23,68,Hawaii,Pacific,Responsiveness of Hospital Staff,Composite Measure
07_2015,HI,H_COMP_5,16,18,66,Hawaii,Pacific,Communication about Medicines,Composite Measure
07_2015,HI,H_COMP_6,15,0,85,Hawaii,Pacific,Discharge Information,Composite Measure
07_2015,HI,H_COMP_7,4,43,53,Hawaii,Pacific,Care Transition,Composite Measure
07_2015,HI,H_HSP_RATING,8,21,71,Hawaii,Pacific,Overall Hospital Rating,Global Item
07_2015,HI,H_QUIET_HSP,11,31,58,Hawaii,Pacific,Quietness of Hospital Environment,Individual Item
07_2015,HI,H_RECMND,4,24,72,Hawaii,Pacific,Willingness to Recommend the Hospital,Global Item
07_2015,IA,H_CLEAN_HSP,5,15,80,Iowa,West North Central,Cleanliness of Hospital Environment,Individual Item
07_2015,IA,H_COMP_1,2,16,82,Iowa,West North Central,Communication with Nurses,Composite Measure
07_2015,IA,H_COMP_2,3,13,84,Iowa,West North Central,Communication with Doctors,Composite Measure
07_2015,IA,H_COMP_3,5,24,71,Iowa,West North Central,Responsiveness of Hospital Staff,Composite Measure
07_2015,IA,H_COMP_5,14,19,67,Iowa,West North Central,Communication about Medicines,Composite Measure
07_2015,IA,H_COMP_6,12,0,88,Iowa,West North Central,Discharge Information,Composite Measure
07_2015,IA,H_COMP_7,3,41,56,Iowa,West North Central,Care Transition,Composite Measure
07_2015,IA,H_HSP_RATING,5,19,76,Iowa,West North Central,Overall Hospital Rating,Global Item
07_2015,IA,H_QUIET_HSP,6,29,65,Iowa,West North Central,Quietness of Hospital Environment,Individual Item
07_2015,IA,H_RECMND,3,22,75,Iowa,West North Central,Willingness to Recommend the Hospital,Global Item
07_2015,ID,H_CLEAN_HSP,6,15,79,Idaho,Mountain,Cleanliness of Hospital Environment,Individual Item
07_2015,ID,H_COMP_1,3,16,81,Idaho,Mountain,Communication with Nurses,Composite Measure
07_2015,ID,H_COMP_2,3,13,84,Idaho,Mountain,Communication with Doctors,Composite Measure
07_2015,ID,H_COMP_3,6,21,73,Idaho,Mountain,Responsiveness of Hospital Staff,Composite Measure
07_2015,ID,H_COMP_5,15,17,68,Idaho,Mountain,Communication about Medicines,Composite Measure
07_2015,ID,H_COMP_6,12,0,88,Idaho,Mountain,Discharge Information,Composite Measure
07_2015,ID,H_COMP_7,5,39,56,Idaho,Mountain,Care Transition,Composite Measure
07_2015,ID,H_HSP_RATING,6,20,74,Idaho,Mountain,Overall Hospital Rating,Global Item
07_2015,ID,H_QUIET_HSP,8,28,64,Idaho,Mountain,Quietness of Hospital Environment,Individual Item
07_2015,ID,H_RECMND,3,22,75,Idaho,Mountain,Willingness to Recommend the Hospital,Global Item
07_2015,IL,H_CLEAN_HSP,8,18,74,Illinois,East North Central,Cleanliness of Hospital Environment,Individual Item
07_2015,IL,H_COMP_1,4,16,80,Illinois,East North Central,Communication with Nurses,Composite Measure
07_2015,IL,H_COMP_2,4,14,82,Illinois,East North Central,Communication with Doctors,Composite Measure
07_2015,IL,H_COMP_3,9,23,68,Illinois,East North Central,Responsiveness of Hospital Staff,Composite Measure
07_2015,IL,H_COMP_5,18,18,64,Illinois,East North Central,Communication about Medicines,Composite Measure
07_2015,IL,H_COMP_6,14,0,86,Illinois,East North Central,Discharge Information,Composite Measure
07_2015,IL,H_COMP_7,5,43,52,Illinois,East North Central,Care Transition,Composite Measure
07_2015,IL,H_HSP_RATING,8,21,71,Illinois,East North Central,Overall Hospital Rating,Global Item
07_2015,IL,H_QUIET_HSP,9,30,61,Illinois,East North Central,Quietness of Hospital Environment,Individual Item
07_2015,IL,H_RECMND,5,25,70,Illinois,East North Central,Willingness to Recommend the Hospital,Global Item
07_2015,IN,H_CLEAN_HSP,7,17,76,Indiana,East North Central,Cleanliness of Hospital Environment,Individual Item
07_2015,IN,H_COMP_1,3,15,82,Indiana,East North Central,Communication with Nurses,Composite Measure
07_2015,IN,H_COMP_2,3,14,83,Indiana,East North Central,Communication with Doctors,Composite Measure
07_2015,IN,H_COMP_3,6,23,71,Indiana,East North Central,Responsiveness of Hospital Staff,Composite Measure
07_2015,IN,H_COMP_5,16,18,66,Indiana,East North Central,Communication about Medicines,Composite Measure
07_2015,IN,H_COMP_6,12,0,88,Indiana,East North Central,Discharge Information,Composite Measure
07_2015,IN,H_COMP_7,4,42,54,Indiana,East North Central,Care Transition,Composite Measure
07_2015,IN,H_HSP_RATING,6,19,75,Indiana,East North Central,Overall Hospital Rating,Global Item
07_2015,IN,H_QUIET_HSP,8,30,62,Indiana,East North Central,Quietness of Hospital Environment,Individual Item
07_2015,IN,H_RECMND,4,23,73,Indiana,East North Central,Willingness to Recommend the Hospital,Global Item
07_2015,KS,H_CLEAN_HSP,7,17,76,Kansas,West North Central,Cleanliness of Hospital Environment,Individual Item
07_2015,KS,H_COMP_1,3,16,81,Kansas,West North Central,Communication with Nurses,Composite Measure
07_2015,KS,H_COMP_2,3,11,86,Kansas,West North Central,Communication with Doctors,Composite Measure
07_2015,KS,H_COMP_3,6,22,72,Kansas,West North Central,Responsiveness of Hospital Staff,Composite Measure
07_2015,KS,H_COMP_5,15,17,68,Kansas,West North Central,Communication about Medicines,Composite Measure
07_2015,KS,H_COMP_6,13,0,87,Kansas,West North Central,Discharge Information,Composite Measure
07_2015,KS,H_COMP_7,4,40,56,Kansas,West North Central,Care Transition,Composite Measure
07_2015,KS,H_HSP_RATING,5,18,77,Kansas,West North Central,Overall Hospital Rating,Global Item
07_2015,KS,H_QUIET_HSP,6,27,67,Kansas,West North Central,Quietness of Hospital Environment,Individual Item
07_2015,KS,H_RECMND,3,21,76,Kansas,West North Central,Willingness to Recommend the Hospital,Global Item
07_2015,KY,H_CLEAN_HSP,8,16,76,Kentucky,East South Central,Cleanliness of Hospital Environment,Individual Item
07_2015,KY,H_COMP_1,4,15,81,Kentucky,East South Central,Communication with Nurses,Composite Measure
07_2015,KY,H_COMP_2,3,12,85,Kentucky,East South Central,Communication with Doctors,Composite Measure
07_2015,KY,H_COMP_3,8,23,69,Kentucky,East South Central,Responsiveness of Hospital Staff,Composite Measure
07_2015,KY,H_COMP_5,17,16,67,Kentucky,East South Central,Communication about Medicines,Composite Measure
07_2015,KY,H_COMP_6,13,0,87,Kentucky,East South Central,Discharge Information,Composite Measure
07_2015,KY,H_COMP_7,5,42,53,Kentucky,East South Central,Care Transition,Composite Measure
07_2015,KY,H_HSP_RATING,7,21,72,Kentucky,East South Central,Overall Hospital Rating,Global Item
07_2015,KY,H_QUIET_HSP,7,27,66,Kentucky,East South Central,Quietness of Hospital Environment,Individual Item
07_2015,KY,H_RECMND,5,24,71,Kentucky,East South Central,Willingness to Recommend the Hospital,Global Item
07_2015,LA,H_CLEAN_HSP,9,16,75,Louisiana,West South Central,Cleanliness of Hospital Environment,Individual Item
07_2015,LA,H_COMP_1,4,12,84,Louisiana,West South Central,Communication with Nurses,Composite Measure
07_2015,LA,H_COMP_2,3,10,87,Louisiana,West South Central,Communication with Doctors,Composite Measure
07_2015,LA,H_COMP_3,9,18,73,Louisiana,West South Central,Responsiveness of Hospital Staff,Composite Measure
07_2015,LA,H_COMP_5,16,15,69,Louisiana,West South Central,Communication about Medicines,Composite Measure
07_2015,LA,H_COMP_6,14,0,86,Louisiana,West South Central,Discharge Information,Composite Measure
07_2015,LA,H_COMP_7,5,37,58,Louisiana,West South Central,Care Transition,Composite Measure
07_2015,LA,H_HSP_RATING,6,18,76,Louisiana,West South Central,Overall Hospital Rating,Global Item
07_2015,LA,H_QUIET_HSP,6,21,73,Louisiana,West South Central,Quietness of Hospital Environment,Individual Item
07_2015,LA,H_RECMND,4,21,75,Louisiana,West South Central,Willingness to Recommend the Hospital,Global Item
07_2015,MA,H_CLEAN_HSP,8,19,73,Massachusetts,New England,Cleanliness of Hospital Environment,Individual Item
07_2015,MA,H_COMP_1,5,15,80,Massachusetts,New England,Communication with Nurses,Composite Measure
07_2015,MA,H_COMP_2,5,15,80,Massachusetts,New England,Communication with Doctors,Composite Measure
07_2015,MA,H_COMP_3,10,24,66,Massachusetts,New England,Responsiveness of Hospital Staff,Composite Measure
07_2015,MA,H_COMP_5,18,18,64,Massachusetts,New England,Communication about Medicines,Composite Measure
07_2015,MA,H_COMP_6,12,0,88,Massachusetts,New England,Discharge Information,Composite Measure
07_2015,MA,H_COMP_7,4,44,52,Massachusetts,New England,Care Transition,Composite Measure
07_2015,MA,H_HSP_RATING,8,22,70,Massachusetts,New England,Overall Hospital Rating,Global Item
07_2015,MA,H_QUIET_HSP,15,33,52,Massachusetts,New England,Quietness of Hospital Environment,Individual Item
07_2015,MA,H_RECMND,4,22,74,Massachusetts,New England,Willingness to Recommend the Hospital,Global Item
07_2015,MD,H_CLEAN_HSP,13,21,66,Maryland,South Atlantic,Cleanliness of Hospital Environment,Individual Item
07_2015,MD,H_COMP_1,6,18,76,Maryland,South Atlantic,Communication with Nurses,Composite Measure
07_2015,MD,H_COMP_2,5,17,78,Maryland,South Atlantic,Communication with Doctors,Composite Measure
07_2015,MD,H_COMP_3,13,27,60,Maryland,South Atlantic,Responsiveness of Hospital Staff,Composite Measure
07_2015,MD,H_COMP_5,22,18,60,Maryland,South Atlantic,Communication about Medicines,Composite Measure
07_2015,MD,H_COMP_6,14,0,86,Maryland,South Atlantic,Discharge Information,Composite Measure
07_2015,MD,H_COMP_7,7,45,48,Maryland,South Atlantic,Care Transition,Composite Measure
07_2015,MD,H_HSP_RATING,10,25,65,Maryland,South Atlantic,Overall Hospital Rating,Global Item
07_2015,MD,H_QUIET_HSP,12,31,57,Maryland,South Atlantic,Quietness of Hospital Environment,Individual Item
07_2015,MD,H_RECMND,6,27,67,Maryland,South Atlantic,Willingness to Recommend the Hospital,Global Item
07_2015,ME,H_CLEAN_HSP,5,14,81,Maine,New England,Cleanliness of Hospital Environment,Individual Item
07_2015,ME,H_COMP_1,3,14,83,Maine,New England,Communication with Nurses,Composite Measure
07_2015,ME,H_COMP_2,4,12,84,Maine,New England,Communication with Doctors,Composite Measure
07_2015,ME,H_COMP_3,6,22,72,Maine,New England,Responsiveness of Hospital Staff,Composite Measure
07_2015,ME,H_COMP_5,14,17,69,Maine,New England,Communication about Medicines,Composite Measure
07_2015,ME,H_COMP_6,11,0,89,Maine,New England,Discharge Information,Composite Measure
07_2015,ME,H_COMP_7,4,38,58,Maine,New England,Care Transition,Composite Measure
07_2015,ME,H_HSP_RATING,6,19,75,Maine,New England,Overall Hospital Rating,Global Item
07_2015,ME,H_QUIET_HSP,9,31,60,Maine,New England,Quietness of Hospital Environment,Individual Item
07_2015,ME,H_RECMND,4,20,76,Maine,New England,Willingness to Recommend the Hospital,Global Item
07_2015,MI,H_CLEAN_HSP,8,19,73,Michigan,East North Central,Cleanliness of Hospital Environment,Individual Item
07_2015,MI,H_COMP_1,4,16,80,Michigan,East North Central,Communication with Nurses,Composite Measure
07_2015,MI,H_COMP_2,4,15,81,Michigan,East North Central,Communication with Doctors,Composite Measure
07_2015,MI,H_COMP_3,7,23,70,Michigan,East North Central,Responsiveness of Hospital Staff,Composite Measure
07_2015,MI,H_COMP_5,18,18,64,Michigan,East North Central,Communication about Medicines,Composite Measure
07_2015,MI,H_COMP_6,12,0,88,Michigan,East North Central,Discharge Information,Composite Measure
07_2015,MI,H_COMP_7,5,43,52,Michigan,East North Central,Care Transition,Composite Measure
07_2015,MI,H_HSP_RATING,7,21,72,Michigan,East North Central,Overall Hospital Rating,Global Item
07_2015,MI,H_QUIET_HSP,9,31,60,Michigan,East North Central,Quietness of Hospital Environment,Individual Item
07_2015,MI,H_RECMND,5,24,71,Michigan,East North Central,Willingness to Recommend the Hospital,Global Item
07_2015,MN,H_CLEAN_HSP,5,17,78,Minnesota,West North Central,Cleanliness of Hospital Environment,Individual Item
07_2015,MN,H_COMP_1,2,17,81,Minnesota,West North Central,Communication with Nurses,Composite Measure
07_2015,MN,H_COMP_2,3,13,84,Minnesota,West North Central,Communication with Doctors,Composite Measure
07_2015,MN,H_COMP_3,5,22,73,Minnesota,West North Central,Responsiveness of Hospital Staff,Composite Measure
07_2015,MN,H_COMP_5,14,20,66,Minnesota,West North Central,Communication about Medicines,Composite Measure
07_2015,MN,H_COMP_6,12,0,88,Minnesota,West North Central,Discharge Information,Composite Measure
07_2015,MN,H_COMP_7,4,41,55,Minnesota,West North Central,Care Transition,Composite Measure
07_2015,MN,H_HSP_RATING,6,20,74,Minnesota,West North Central,Overall Hospital Rating,Global Item
07_2015,MN,H_QUIET_HSP,6,28,66,Minnesota,West North Central,Quietness of Hospital Environment,Individual Item
07_2015,MN,H_RECMND,3,23,74,Minnesota,West North Central,Willingness to Recommend the Hospital,Global Item
07_2015,MO,H_CLEAN_HSP,9,18,73,Missouri,West North Central,Cleanliness of Hospital Environment,Individual Item
07_2015,MO,H_COMP_1,4,17,79,Missouri,West North Central,Communication with Nurses,Composite Measure
07_2015,MO,H_COMP_2,4,14,82,Missouri,West North Central,Communication with Doctors,Composite Measure
07_2015,MO,H_COMP_3,8,25,67,Missouri,West North Central,Responsiveness of Hospital Staff,Composite Measure
07_2015,MO,H_COMP_5,17,18,65,Missouri,West North Central,Communication about Medicines,Composite Measure
07_2015,MO,H_COMP_6,13,0,87,Missouri,West North Central,Discharge Information,Composite Measure
07_2015,MO,H_COMP_7,5,42,53,Missouri,West North Central,Care Transition,Composite Measure
07_2015,MO,H_HSP_RATING,7,22,71,Missouri,West North Central,Overall Hospital Rating,Global Item
07_2015,MO,H_QUIET_HSP,8,30,62,Missouri,West North Central,Quietness of Hospital Environment,Individual Item
07_2015,MO,H_RECMND,5,24,71,Missouri,West North Central,Willingness to Recommend the Hospital,Global Item
07_2015,MS,H_CLEAN_HSP,9,17,74,Mississippi,East South Central,Cleanliness of Hospital Environment,Individual Item
07_2015,MS,H_COMP_1,5,14,81,Mississippi,East South Central,Communication with Nurses,Composite Measure
07_2015,MS,H_COMP_2,3,10,87,Mississippi,East South Central,Communication with Doctors,Composite Measure
07_2015,MS,H_COMP_3,11,20,69,Mississippi,East South Central,Responsiveness of Hospital Staff,Composite Measure
07_2015,MS,H_COMP_5,18,15,67,Mississippi,East South Central,Communication about Medicines,Composite Measure
07_2015,MS,H_COMP_6,16,0,84,Mississippi,East South Central,Discharge Information,Composite Measure
07_2015,MS,H_COMP_7,5,42,53,Mississippi,East South Central,Care Transition,Composite Measure
07_2015,MS,H_HSP_RATING,8,20,72,Mississippi,East South Central,Overall Hospital Rating,Global Item
07_2015,MS,H_QUIET_HSP,6,22,72,Mississippi,East South Central,Quietness of Hospital Environment,Individual Item
07_2015,MS,H_RECMND,5,25,70,Mississippi,East South Central,Willingness to Recommend the Hospital,Global Item
07_2015,MT,H_CLEAN_HSP,10,18,72,Montana,Mountain,Cleanliness of Hospital Environment,Individual Item
07_2015,MT,H_COMP_1,3,18,79,Montana,Mountain,Communication with Nurses,Composite Measure
07_2015,MT,H_COMP_2,4,13,83,Montana,Mountain,Communication with Doctors,Composite Measure
07_2015,MT,H_COMP_3,7,24,69,Montana,Mountain,Responsiveness of Hospital Staff,Composite Measure
07_2015,MT,H_COMP_5,18,17,65,Montana,Mountain,Communication about Medicines,Composite Measure
07_2015,MT,H_COMP_6,17,0,83,Montana,Mountain,Discharge Information,Composite Measure
07_2015,MT,H_COMP_7,5,44,51,Montana,Mountain,Care Transition,Composite Measure
07_2015,MT,H_HSP_RATING,8,24,68,Montana,Mountain,Overall Hospital Rating,Global Item
07_2015,MT,H_QUIET_HSP,8,30,62,Montana,Mountain,Quietness of Hospital Environment,Individual Item
07_2015,MT,H_RECMND,4,27,69,Montana,Mountain,Willingness to Recommend the Hospital,Global Item
07_2015,NC,H_CLEAN_HSP,9,19,72,North Carolina,South Atlantic,Cleanliness of Hospital Environment,Individual Item
07_2015,NC,H_COMP_1,4,16,80,North Carolina,South Atlantic,Communication with Nurses,Composite Measure
07_2015,NC,H_COMP_2,4,13,83,North Carolina,South Atlantic,Communication with Doctors,Composite Measure
07_2015,NC,H_COMP_3,9,23,68,North Carolina,South Atlantic,Responsiveness of Hospital Staff,Composite Measure
